Tool,GitHub URL,Layer,What it does,Conflict / Overlap,Runtime,Requirements,Licence,Stars (15 Jul 2026),Trend (30d),Activity (Issues / PRs),Activity Status,Verdict,Decision Rule
graphify,https://github.com/safishamsi/graphify,Code navigation,Multimodal graph: code + PDFs + diagrams + video/audio + SQL schemas. 50+ languages. v8 active branch. Daily commits.,Code nav overlaps GitNexus; SQL schema overlaps SocratiCode; multimodal artifacts unique,Python/pip,Python 3.10+; no model calls; pip install,MIT,86000,▲ +4%,"⚠ Single-source figure (OpenGithubs weekly tracker, 82.3k) — large jump from 51.8k, not yet independently corroborated by a second source. Flagged for dedicated verification next sweep.",🟢 Hyper-active,Add if you have unstructured docs,"Unique for PDFs, diagrams, whiteboards, video, SQL schemas. Note: star count corrected from 52.1k to 48.2k after GitHub cleanup."
codegraph,https://github.com/colbymchenry/codegraph,Code navigation,"Pre-indexed SQLite code knowledge graph. One file per repo, auto-syncs on changes. Benchmarked (2026-06-02 on Opus 4.8, headless, 7 repos, 4 runs/arm, median): 58% fewer tool calls, 22% faster, file reads ≈ zero. 8 agent integrations. npx @colbymchenry/codegraph or codegraph init. MIT.","⛔ HARD tool name collision with codebase-memory-mcp (search_code, get_symbols, find_references) and CodeGraphContext (near-identical surface). Pick one. Also overlaps GitNexus.",Node.js,Node.js 22+ or 24; no model calls; npm install,MIT,60000,▲ +3%,"39 contributors, 58.5k confirmed via GitHub issue live counter + star-history.com independently, re-benchmarked on Opus 4.8, current build uses codegraph_explore as primary tool",🟢 Hyper-active,Add — best validated MIT code nav,"Now #1 by stars in code nav layer (surpassed GitNexus). | #1 fastest-growing AI repo this week. 21.8k+ stars (growing rapidly). 71% fewer tool calls, 57% fewer tokens (v0.9.4 benchmarks). MIT, npm install. Remote repo support, WAL mode SQLite, bundled Node runtime."
tokensave,https://github.com/aovestdipaperino/tokensave,Code navigation,"Self-disclosed Rust rewrite of codegraph (colbymchenry/codegraph) with substantially expanded scope. 80+ MCP tools (tokensave_search, tokensave_context, tokensave_callers/callees, tokensave_impact, tokensave_dead_code, tokensave_circular, tokensave_type_hierarchy, tokensave_health/gini/dsm code-health analytics, 4 atomic edit primitives with auto re-index, tokensave_diff_context/commit_context/pr_context git integration, tokensave_test_map, multi-branch tools). 50+ languages in 3 tiers (lite/medium/full) via bundled tree-sitter grammars. 16 agent integrations (Claude, Codex, Gemini, Cursor, Cline, Roo Code, Zed, Antigravity, Kiro, Kimi, Vibe, Grok, Pi, and more) with per-agent native config. Multi-branch indexing (opt-in per-branch DBs, cross-branch diff/search — unique in this comparison). Subprocess-isolated tree-sitter extraction: a crashing grammar kills only a worker, sync continues. On-demand staleness check (30s cooldown) + catch-up sync on connect, no background daemon or file watcher (removed in 6.1.0 after CPU/memory issues on monorepos). Reproducible benchmark: tokensave bench (93% mean retrieval savings, 10 published queries) + criterion micro-benchmarks against 4 pinned real-world repos (polkadot-sdk, emacs, scipy, node). Per-call token/cost tracking, live TUI monitor, cost parsed from Claude Code session transcripts (13 task categories). libSQL (SQLite fork) storage. v7.0.2, 133+ releases.","⚠ SOFT: same role as codegraph, GitNexus, codebase-memory-mcp, CodeGraphContext, Serena, pharos-mcp in the pick-ONE-primary code nav slot — running two full code graph MCP servers doubles indexing and schema overhead. Tool names are tokensave_* prefixed so no hard name collision, but functionally redundant with any other code nav tool. Direct lineage: explicit Rust port of codegraph, already in this comparison.",Rust (98.2%) + Python + Shell,"Zero-LLM — semantic search is agent-driven keyword expansion, not embeddings; cost/task classification is deterministic pattern matching. No API key needed. brew install aovestdipaperino/tap/tokensave, scoop, or cargo install tokensave (full/medium/lite feature tiers). tokensave init then tokensave install --agent claude.",MIT,433,▲ +71%,"21 forks, 133+ releases, v7.0.2 Jun 24 2026, 728+ commits, SkillsLLM security scan PASSED (30 May 2026, no high-severity issues), author actively engaging upstream (filed feature request on headroom repo proposing embedding tokensave, fully self-disclosed)",🟢 Very active,Add — direct successor to codegraph with much broader scope; strong candidate for best-in-class pending community growth,"Self-disclosed as a ground-up Rust port of codegraph, with a README comparison table showing it ahead on nearly every dimension: 80+ tools vs 9, 50+ languages vs 19+, 16 agent integrations vs 1, multi-branch indexing (unique), 26x faster indexing (1.2s vs 31.2s on the same 1,782-file benchmark), smaller binary (25MB vs 80MB) despite far more features. Fully open source MIT — explicitly contrasted in its own README against GrapeRoot/Dual-Graph proprietary core and OpenWolf AGPL-3.0. Reproducible benchmark methodology (fixed query set + pinned-ref criterion benches against real repos) is more rigorous than most tools in this comparison. Only 253 stars vs codegraph 57.1k — much newer and less battle-tested despite the technical case being strong. cargo install tokensave --features medium for a smaller binary if 50+ languages is not needed."
CodeGraphContext,https://github.com/CodeGraphContext/CodeGraphContext,Code navigation,"Python MCP + CLI. 14 languages, KùzuDB/FalkorDB/Neo4j. Pre-indexed bundles. 78 contributors. v0.3.1.","⛔ HARD tool name collision with codegraph (near-identical surface) and codebase-memory-mcp (search_code, get_symbols, query_graph). Pick one Python code nav tool.",Python/pip,Python 3.10+; no model calls; KùzuDB bundled (FalkorDB/Neo4j optional),MIT,3900,▲ +86%,"78 contributors, community PRs, active issues",🟡 Active,Add — Python runtime or pre-indexed bundles,Best if Python runtime preferred or you need pre-indexed bundles for famous repos.
contextplus,https://github.com/ForLoopCodes/contextplus,Code navigation,"TypeScript MCP server. Tree-sitter AST (43 extensions) + Spectral Clustering + Ollama/OpenAI embeddings + Obsidian-style wikilink feature hubs. 10 tools: context tree, file skeleton, semantic search, semantic navigation, blast radius, static analysis (TS/Python/Rust/Go), propose_commit (shadow restore points before every AI write), feature hub navigator, memory graph (create_memory_node, create_memory_edge, graph_traverse). bunx contextplus, no install needed.",⛔ HARD blast radius collision with code-review-graph (get_blast_radius vs analyze_changes — same concept). Memory tools (create_memory_node) collide semantically with pharos memory_save and openwolf wolf_memory.,Node.js (Bun),⚠ Requires Ollama running locally OR OpenAI API key for embeddings; Node.js 18+ / Bun,No licence (all rights reserved),2000,▲ +18%,"134 forks, 1.7k stars, 38 commits, 0 releases, active — community-built pmll-memory-mcp complement exists",🟡 Active,"Watch — growing fast, no licence","⚠ No licence file — all rights reserved by default. Stricter than paid-commercial tools. Do not use in commercial projects without author permission. Unique: spectral clustering, shadow restore points, wikilink feature hubs, memory graph. Requires Ollama or OpenAI API key. bunx contextplus to run."
Serena,https://github.com/oraios/serena,Code navigation,LSP-backed symbol retrieval and symbol-level editing. v1.3.0. Known memory leak (~30GB reported).,"⛔ HARD tool name collision with pharos-mcp (find_symbol, find_references, goto_definition, get_symbols). Serena + any other code nav = agent confusion.",Python/uv,Python 3.10+; no model calls; uv install,MIT,26000,▲ +3%,"25.2k confirmed stable via independent third-party research (Ry Walker Code Intelligence Tools comparison) — exact match to prior recording, no change",🟢 Very active,Watch — only if LSP editing needed,Stars stable ~24k. Memory leak is a real issue. Keep only if insert_after_symbol is critical.
pharos-mcp,https://github.com/LoganBresnahan/pharos-mcp,Code navigation,"LSP-MCP bridge. Gives any MCP agent the same language servers your IDE uses (rust-analyzer, gopls, tsserver, pyright, jdtls + 18 more). 53 MCP tools: hover, goto_definition, find_references, call_hierarchy, type_hierarchy, workspace_symbols, get_diagnostics, rename_preview, semantic_tokens, inlay_hints, project memory store + debug/raw escape hatches. Multi-server routing (pyright+ruff for Python). Gleam/OTP BEAM runtime. Self-contained binary via Burrito, npm install. v0.1.0 released 26 May 2026. Benchmark: +7-29pp accuracy, -35-46% wall time vs grep baseline across 5 languages, 1986 cells.","⛔ HARD tool name collision with Serena (find_symbol, find_references, goto_definition, get_symbols), codebase-memory-mcp (search_code, find_references), and codegraph (find_definition, find_references). Pick one code nav tool.",Gleam/OTP (Erlang BEAM),"⚠ Language servers must be installed separately (rust-analyzer, gopls, tsserver, pyright etc.); Erlang/OTP 28 + Elixir 1.19 + Gleam 1.16 + Zig 0.15.2 to build from source; npm install -g pharos-mcp for pre-built binary; no external model calls",AGPL-3.0 + commercial dual licence,4,▲ +300%,"0 forks, 3 releases, v0.1.0 released 26 May 2026, 265 commits, solo dev — brand new today",🔴 Early,Watch — early but exceptional benchmark,"Released today (26 May 2026). Most rigorous benchmark in this comparison: 1986 cells, 8h wall, LSP-as-oracle ground truth, fully open methodology. AGPL-3.0 + commercial dual licence. npm install -g pharos-mcp. LSPs must be installed separately. Cold start 30-90s for heavy LSPs (jdtls, metals). Revisit in 2-4 weeks for community validation."
jCodemunch,https://github.com/jgravelle/jcodemunch-mcp,Code navigation,"tree-sitter AST index + BM25 symbol search + fuzzy matching + optional semantic/hybrid search. find_importers, get_blast_radius, get_class_hierarchy, find_dead_code, get_ranked_context (token-budgeted context assembly). Secret-file detection. 25+ languages. 419K MCP installs globally (#145 on PulseMCP). v1.108.25, hyper-active (108+ major revisions). Telemetry: anonymous token savings counter, disable with JCODEMUNCH_SHARE_SAVINGS=0.","⛔ HARD: tool name collision with codegraph and codebase-memory-mcp on search_code, get_symbols. But has unique tools (find_importers, get_ranked_context, get_class_hierarchy) not present in free alternatives.",Python/pip,Python 3.10+; optional OpenAI API key for semantic/hybrid search mode; uvx jcodemunch-mcp,Dual-use (free non-commercial; paid commercial),2000,▲ +5%,"292 forks, 1.9k stars, 419K installs, v1.108.25 released 26 May 2026, hyper-active daily releases",🟢 Hyper-active,Add if non-commercial — richest feature set in code nav layer,"Free for personal/non-commercial use. Commercial use requires paid licence. 419K installs. Unique: find_importers, get_blast_radius, get_class_hierarchy, get_ranked_context. ⛔ Do not run alongside codegraph or codebase-memory-mcp — hard tool name collision."
n2-arachne,https://github.com/choihyunsus/n2-arachne,Code navigation,Push model: pre-assembles 4-layer token-budgeted context before agent acts,Push model overlaps sigmap; nav overlaps GitNexus,Node.js,Node.js 18+; no model calls,Apache-2,55,▲ +1275%,"no issues, no PRs, no recent commits",⚫ Dormant,Watch — too early,sigmap covers the push model more maturely.
depmesh,https://github.com/Tiendil/depmesh,Code navigation,"CLI tool making file-to-file relationships an explicit, declared part of project configuration rather than agent-inferred. depmesh.toml defines relations (tested_by, governed_by, imports, imported_by, or any custom relation) via glob pattern rules, fixed lists, CLI commands, or scripts. depmesh dependencies --relation tested_by ./src/app.py returns exact related artifacts deterministically — no AST parsing, no embeddings, no LLM inference. depmesh skill usage/configuration/initialization give agent-oriented docs. Self-dogfoods its own depmesh.toml. BSD-3-Clause, Python 97.1%.","No MCP tool name conflicts — CLI + AGENTS.md instruction pattern (like agent-context-economy, repo-graph), not an MCP server. Fundamentally different mechanism from codegraph/GitNexus/CodeGraphContext (all infer structure via AST/embeddings) — depmesh requires explicit rule configuration, trading setup effort for determinism. Narrower than lat.md (no documentation-authoring component, just relation queries).",Python,"Zero-LLM; no model calls anywhere — pure deterministic pattern matching. Python via uv or pip. uv tool install depmesh or pip install depmesh, then depmesh init to scaffold starter config.",BSD-3-Clause,4,▲ +100%,"0 forks, 2 tags, 15 commits, solo developer (Tiendil/Aliaksei Yaletski, 79 followers) — very early, no third-party coverage yet",🔴 Early,"Watch — too early, but genuinely distinct deterministic approach","Zero benchmark claims in the README — notably modest relative to most new tools in this comparison. Only useful once depmesh.toml is meaningfully configured for the project; the starter config from depmesh init is just a template. Trades manual relation-definition effort for zero hallucination risk on ""what tests cover this file""-style queries. Worth revisiting once community adoption signals appear."
codemark,https://github.com/DanielCardonaRojas/codemark,Code navigation,"Structural code bookmarking system using tree-sitter to capture semantic structure rather than fragile file:line coordinates. Bookmarks self-heal across renames, refactors, and formatting changes via tiered matching (Exact → Relaxed → Hash Fallback). codemark add --file src/auth.rs --range 42 --tag auth --note ""JWT entry point"" bookmarks the AST node, not the line number. codemark resolve <id> finds it even after the code moved. Semantic search via local vector embeddings (sqlite-vec, no API key): codemark reindex then codemark search --semantic ""how are tokens validated?"". Collections group bookmarks into task-specific sets. Git-integrated: tracks bookmarks across commits/branches. Integrations: Television (TUI fuzzy-finder), Neovim (gutter signs, visual-selection bookmarking, Telescope), Claude Code (dedicated plugin, badged ""agent-ready""). 8 languages via tree-sitter: Rust, Swift, TypeScript/TSX, Python, Go, Java, Dart, C#. SQLite bundled. 112 commits, 10 releases, v0.5.2 (Apr 20 2026), published on crates.io.","Different mechanism from the code-nav cluster (codegraph/GitNexus/tokensave/Serena/pharos-mcp/CodeGraphContext/jCodemunch): those answer ""what is related to this code"" via live graph query or symbol resolution; codemark answers ""does the location I bookmarked earlier still exist, and where"" via self-healing structural pointers. Complementary, not competing — same relationship depmesh has to this layer. No MCP server visible in what was fetched; appears to be CLI + Claude Code plugin (skill/hook pattern) rather than MCP tools, so no hard name-collision risk with existing MCP-based code nav tools.",Rust (97%) + Lua (Neovim plugin),"Zero-LLM; semantic search uses local vector embeddings (sqlite-vec) — no API key required, confirmed explicitly in README. Rust 1.75+ to build from source; SQLite bundled. brew tap DanielCardonaRojas/codemark && brew install codemark, or cargo install codemark.",MIT,14,—,"0 forks, 10 releases, v0.5.2 Apr 20 2026, 112 commits, published on crates.io, author has 65 GitHub repos — technically mature but genuinely undiscovered, no third-party coverage found",🔴 Undiscovered,"Watch — too early, but a genuinely novel mechanism not replicated elsewhere in this comparison","Self-healing structural bookmarks (tiered Exact → Relaxed → Hash Fallback resolution) solve pointer decay — a real problem for long-running agent sessions where code shifts between turns and a raw file:line reference silently breaks. Claude Code plugin is purpose-built for this: agent bookmarks a location, retrieves it later by semantic meaning rather than needing to remember exact coordinates. 0 stars despite 112 commits and 10 releases through v0.5.2 — technically mature, just undiscovered. Also has genuine human-facing value via Neovim and Television TUI integrations, not purely agent-oriented."
repo-graph,https://github.com/andreirx/repo-graph,Architecture violation detection (trust-first),"Deterministic graph with trust model: classifies unresolved edges, reliability surface, obligation/CI gate, trend analysis. CLI only. No releases.",Trust model + gate unique; structural queries overlap GitNexus,Node.js,Node.js 18+; no model calls; CLI only (no MCP),MIT,11,▲ +267%,"no issues, no PRs, no releases yet",🔴 Pre-release,Watch — most sophisticated trust model here,No MCP and no releases. Follow closely; adopt if MCP ships.
TrueCourse,https://github.com/truecourse-ai/truecourse,Architecture violation detection,"Circular deps, layer violations, race conditions, Prisma/Drizzle ER diagrams, LLM semantic code review, git diff mode. v0.2.4.",Diff mode overlaps GitNexus/code-review-graph; violation focus unique,Node.js,⚠ Calls LLM for semantic code review feature (L3 checks); Node.js 18+; npx truecourse,MIT,496,▲ +2262%,"minimal issues/PRs, solo dev, early stage",🔴 Early,Watch — early but unique angle,Complementary to GitNexus. Disable telemetry: npx truecourse telemetry disable.
Tool Search,https://docs.anthropic.com/en/docs/claude-code,MCP definition tokens,Defers tool schema loading until needed; auto-triggers above 10% context threshold,—,Built-in,Built into Claude Code; no additional install,Free,—,—,— built-in,— built-in,"Add — free built-in, zero setup",Built into Claude Code. Defers tool schema loading and auto-triggers above 10% context. Enable it and forget it — no configuration needed.
mcpick,https://github.com/spences10/mcpick,MCP definition tokens,Manual CLI toggle of MCP servers per session / profile,Same problem as Tool Search,Node.js,Node.js 18+; no model calls; npm install -g mcpick,MIT,91,—,"low churn, stable",🟡 Stable,Watch — only if Tool Search insufficient,Only needed if Tool Search doesn't provide enough control.
Bitloops,https://github.com/bitloops/bitloops,Cross-session governance & reasoning capture,"Rust daemon: captures developer-agent reasoning linked to git commits. Shared repo-scoped memory across agents. DevQL typed GraphQL interface. External knowledge (GitHub issues/PRs, Jira, Confluence). Local dashboard. SQLite+DuckDB default backends. Semantic embeddings (local or OpenAI). Supports Claude Code, Codex, Cursor, Gemini, Copilot, OpenCode. brew install available. v0.0.17. Telemetry opt-in at first init.",Overlaps Aura (reasoning capture); lean-ctx CCP (per-dev vs team-shared),Rust,Rust binary; SQLite default (PostgreSQL optional); DuckDB/ClickHouse optional; optional OpenAI API key for semantic embeddings; brew install bitloops/tap/bitloops,Apache-2.0,230,▲ +31%,"0 open issues, v0.0.30, 1471+ commits, active development",🟡 Active,"Watch — unique, growing","Apache-2.0, free. brew install bitloops/tap/bitloops. Telemetry is opt-in (asked at first init, not on by default). SQLite is default — no Postgres required. Team-shared memory + external knowledge (Jira/Confluence) unique. Revisit at v0.1+."
Aura,https://github.com/Naridon-Inc/aura,Cross-session governance,"AST Merkle-Graph on git; intent gating, fn-level rewind, compressed handover","Overlaps Bitloops — Aura per-dev/fn-level, Bitloops team/commit-level",Rust,Rust binary; no model calls; cargo install,Apache-2,36,▲ +80%,"minimal issues, no PRs, early stage",🔴 Early,Watch — unique but early,No conflicts if adopted. Addresses AI drift and cross-session handoff.
aictx,https://github.com/oldskultxo/aictx,Cross-session governance,"Repo-local continuity runtime. Solves agent cold-start: each session starts from the operational state left by prior work via two CLI calls — aictx resume (produces resume capsule with active task, next action, known failures, verified strategies, branch-safe Work State) and aictx finalize (captures execution evidence). Core capabilities: Work State (task, hypothesis, files, next action, risks), Failure Memory (structured patterns of observed command/test/build/lint failures — agents avoid repeating them), Strategy Memory (reusable successful execution patterns), Handoffs/Decisions (survive session boundaries), RepoMap (optional Tree-sitter structural map). Claude-aware (.claude/hooks/aictx_*.py), Codex-first, generic-agent compatible. All artifacts local JSON/Markdown in .aictx/ directory. No model calls. 28 releases, v5.3.0. Demo: 5 vs 10 files explored, 8 vs 15 commands, 1m12s vs 1m59s (honest framing: not a universal benchmark).","No MCP tool name conflicts — CLI-only (no MCP server). Overlaps cross-session governance layer (Bitloops, Aura, graphiti) but different emphasis: AICTX captures operational state (task/failure/strategy) not reasoning chains (Bitloops) or temporal fact graphs (graphiti). Uniquely tracks structured failure patterns — no other tool here explicitly prevents agents from repeating known failed commands.",Python,"Python 3.10+; no model calls; no external API needed. pip install aictx then aictx install then aictx init. RepoMap uses Tree-sitter (optional, pip extra). Works offline.",MIT,54,▲ +575%,"1 fork, 28 releases, v5.3.0 May 4 2026, 137 commits, solo dev (Santi Santamaria), official website at aictx.org",🟡 Active (solo),Watch — 8 stars but 28 releases; unique failure memory; needs community validation,"8 stars but 28 releases from v1 to v5.3.0 suggests sustained personal development before publicizing. README explicitly rules out productivity guarantees and lists what it is not — good epistemic hygiene. Failure Memory is unique in this comparison: structured tracking of commands/tests that failed, with dedupe and staleness metadata. No model calls — entirely offline capable. pip install aictx then aictx install then aictx init."
greplica,https://github.com/Autoloops/greplica,Cross-session governance,"Graph-structured memory of engineering knowledge (components, flows, decisions, constraints) for coding agents. Two skills: greplica-bootstrap (once, repo start) and greplica-update-working-memory (end of sessions with durable decisions). greplica graph context ""<question>"" retrieves relevant prior context before broad manual exploration — reduces repeated rg searches and rediscovery of past decisions. Retrieval combines keyword search, semantic embeddings, and graph traversal. Local embedding mode available (no API key) or OpenAI embeddings. Supports Codex, Claude Code, OpenCode, GitHub Copilot CLI (Cline in progress). Stored at ~/.greplica/graph.db, no cloud sync, no telemetry. Benchmarked on SWE-chat (public dataset + paper): held-out planning tasks, clean base snapshot + 2-4 prior sessions build context, baseline vs Greplica-context run compared. Best case 75% fewer tokens + 38% faster; typical 40-50% token reduction. Company-backed (Autoloops).","Overlaps aictx (cross-session governance) — different model: aictx tracks operational state (task/failure/strategy), Greplica tracks a claims/sources/edges knowledge graph (architecture-document-like). Also overlaps gitmem/memoir conceptually (persistent engineering memory) but positioned around planning-task benchmarks specifically, not multi-tool sharing or git branching.",TypeScript (94.6%) + JavaScript,Node.js + npm. Native npm packages (better-sqlite3) need local build tools. Local embedding mode: no API key required. OpenAI embedding mode: OPENAI_API_KEY needed for graph context search and proposal application. npm install -g greplica then greplica install --platform <claude|codex|opencode> --embedding local.,"⚠ No LICENSE file visible in repo despite marketing site claiming ""open source and free to use""",313,▲ +38%,"41 forks, 0 releases, 20 commits shown on direct fetch (stale) — confirmed 227 stars/41 forks via live GitHub issue pages (Jun 23 2026), good-first-issue labels suggest active community onboarding, company-backed (Autoloops)",🟡 Active,"Add — rigorous benchmark methodology, local-first, but no licence file","⚠ Direct page fetch showed 1 star/alpha/mandatory OpenAI key — search cross-check revealed 227 stars/41 forks and a local-embedding option not visible in the fetched README. Use the higher, more recent figures. Benchmarked on SWE-chat (arXiv-linked public dataset), a genuinely more rigorous methodology than most tools at this stage: held-out planning tasks, baseline vs treatment. No LICENSE file in repo — verify licensing terms directly before commercial use despite ""open source and free"" marketing language. Self-described alpha: ""ready for small-team dogfooding,"" memory quality still needs human review for nuanced rationale."
caveman,https://github.com/JuliusBrussee/caveman,Response verbosity + memory compression,Skill strips output filler; companion compresses CLAUDE.md (~45% savings). 30+ agents. QLoRA fine-tune. Run after sigmap.,Terse mode overlaps sqz and lean-ctx TDD — pick one response compression. caveman-compress for CLAUDE.md always useful.,Skill file,Skill file; no runtime; no model calls; copy .claude/skills/caveman.md,MIT,89000,● flat,"5.1k forks, 88.8k confirmed via GitHubVC live trending tracker, corroborated by findarepo (87k) and OpenGithubs weekly (88.1k) — now the single most-starred tool in this entire comparison",🟢 Very active,Add — most-starred tool in this table,"64.2k stars, v1.8.2. MCP-shrink added. Do NOT combine with lean-ctx TDD or sqz terse. Run order: sigmap → caveman-compress → session start."
codesight,https://github.com/Houseofmvps/codesight,Static context injection (push model),"Zero-dep npx CLI. Writes routes/schema/components/env/dep-graph as structured markdown in one command. 8 MCP tools with session caching. Blast radius via BFS. 5 AI tool profiles (CLAUDE.md, .cursorrules, codex.md). Watch mode, git hook, GitHub Action. 25+ framework detectors, 8 ORM parsers. v1.3.1.","Partial overlap with sigmap (both write to CLAUDE.md pre-session) — different abstraction: codesight=semantic (routes, schema, env), sigmap=structural (function signatures). Stackable not competitive. Blast radius overlaps codegraph/GitNexus.",Node.js (pnpm),Node.js 18+; no model calls; pnpm internally,MIT,1200,▲ +9%,"13 MCP tools, 27 tests, solo dev, v1.6.2, active",🟡 Active (solo),"Watch — growing fast, reassess soon","Stack alongside sigmap: codesight for routes/schema/env, sigmap for function signatures. --wiki mode (v1.6.2) for 91x combined reduction."
codemap,https://github.com/JordanCoin/codemap,Static context injection (push model),Go binary daemon. Budget-aware context at session start/edit/stop via Claude Code hooks. Cross-agent handoff artifacts (layered prefix/delta JSON with cache reuse metrics). Diff mode with hub impact warnings. Dependency flow via ast-grep. Remote repo analysis. Routing/subsystem config. Drift detection. Skyline visualisation. v4.0.7. 43 releases.,"Overlaps sigmap and codesight (both push context pre-session) — codemap adds daemon, budget config, routing, and cross-agent handoff. Handoff overlaps Aura/Bitloops at governance layer.",Go binary,Go binary; no model calls; brew install or go install,MIT,642,▲ +39%,"49 CI runs, solo dev, remote repo support added, TypeScript path alias support",🟡 Active (solo),Add — unique daemon + handoff model,"Stack alongside sigmap/codesight: codemap for daemon-managed context + cross-agent handoff + budget config. brew install, no npm. Run codemap setup in project root. Unique for routing/subsystem config and drift detection."
openwolf,https://github.com/cytostack/openwolf,Static context injection (push model),"6 Claude Code lifecycle hooks creating .wolf/: anatomy.md (file map + token estimates), cerebrum.md (Do-Not-Repeat list + preferences), buglog.json (searchable fix memory), memory.md (action log), token-ledger.json (lifetime tracking). Blocks repeated file reads mid-session. designqc command captures screenshots for design review. reframe command for UI framework migrations. v1.0.4.","Overlaps codesight/sigmap/codemap (pre-session injection — openwolf adds behavioural memory layer). Overlaps Bitloops (cross-session learning — openwolf=per-project local, Bitloops=team-shared). Overlaps token-optimizer (token tracking — different scope).",Node.js,Node.js 20+; no model calls; npm install -g openwolf,AGPL-3.0,2100,▲ +24%,"41+ open issues, 5 open PRs, 56 forks, active",🟡 Active,Add — unique behavioural memory layer,"AGPL-3.0: free to use as dev tool; embedding in commercial product requires open-sourcing. Unique: Do-Not-Repeat list persists mistakes across sessions, buglog.json prevents re-discovering fixes. npm install -g openwolf then openwolf init in project root. Token tracking is estimate-based (~15% accuracy). v1.0.4 — things may break."
lat.md,https://github.com/1st1/lat.md,Static context injection (push model),"Markdown knowledge graph for codebases stored in a lat.md/ directory. Interconnected .md files document architecture, business logic, design decisions, and test specs — linked via [[wiki links]] to each other and to source code symbols (// @lat: [[section-id]] in code). Agents navigate via lat search (semantic), lat section, lat locate, lat refs, lat expand (expands [[refs]] inline without loading full graph). lat check enforces referential integrity between docs and code. Test spec enforcement: require-code-mention: true flags specs without code backlinks. lat mcp starts MCP server. lat init scaffolds directory and installs hooks in Claude Code / Codex / OpenCode. Agents maintain the graph; humans review semantic diffs in lat.md/ before code diffs. 21 releases, v0.11.0 Mar 2026. Author: Yury Selivanov (Python asyncio, uvloop, EdgeDB).","No MCP tool name conflicts. Occupies a distinct niche from sigmap (signatures → CLAUDE.md), codesight (routes/schema → CLAUDE.md), codemap (budget-aware injection). lat.md creates a navigable knowledge graph rather than pushing content to CLAUDE.md. Complements sigmap: sigmap handles what code does, lat.md handles why and how architecture decisions were made.",Node.js 22+ / pnpm,"Node.js 22+, pnpm. lat search requires OpenAI API key (sk-...) or Vercel AI Gateway key (vck_...) for semantic search — lat locate/section/refs/check work without it. npm install -g lat.md then lat init.",MIT,1800,▲ +12%,"106 forks, 21 releases, v0.11.0 Mar 23 2026, 191 commits, 13 open issues, 14 open PRs, HN front page discussion Mar 29 2026",🟡 Active (3 months dormant),Add — unique architecture documentation governance; dormant since Mar 2026,"Only tool here addressing AGENTS.md scalability: replaces a single flat file with a linked graph of .md files. lat check enforces bidirectional links between docs and code, catching drift that ctxharness misses (ctxharness checks version facts; lat.md checks structural links). Author Yury Selivanov (Python asyncio/uvloop/EdgeDB) gives strong credibility. Dormant since March 25, 2026 — 3 months without commits. Semantic search requires OpenAI key; all other features work offline."
sdl-mcp,https://github.com/GlitterKill/sdl-mcp,Code navigation,Symbol Card graph (LadybugDB) with 4-rung Iris Gate Ladder: escalate from 100-token Symbol Card → Skeleton IR → Hot-Path Excerpt → policy-gated raw source. Live indexing (unsaved edits). Graph slicing with weighted BFS. SCIP compiler-grade cross-refs. Cross-session development memories. Tool gateway (38→6 tools). Sandboxed runtime execution (outputMode: minimal). Observability dashboard. v0.11.3.,"Overlaps GitNexus (symbol graph + blast radius + Claude Code integration) and codebase-memory-mcp (graph queries). Iris Gate Ladder, live indexing, SCIP, and tool gateway are unique. Tool gateway directly reduces MCP definition token overhead.",Node.js + Rust,⚠ Node.js 24+ required; no external model calls; SCIP optional for compiler-grade edges,Source-available (commercial licence for distribution),440,▲ +46%,"12+ open issues (incl. FD leak #12: 240k+ FDs after 18min use), 40 releases, 794 commits, active",🟡 Active,Add — best-in-class controlled escalation,Source-available: free for personal/internal use. ⚠ Known file descriptor leak (issue #12) — 240k+ FDs after 18min use in Claude Code sessions. Iris Gate Ladder is most sophisticated token-minimisation mechanism in this table. Requires Node.js 24+.
token-optimizer,https://github.com/alexgreensh/token-optimizer,Config stack audit & optimisation,"Claude Code skill that dispatches 6 parallel audit agents across your full config stack: CLAUDE.md, MEMORY.md, skills, MCP servers, commands, rules, .claudeignore. Measures per-message overhead, identifies what is eating context, implements fixes with backup + diff approval. Skill usage analytics (tracks which of your 59 installed skills you actually use). Session health monitoring. Interactive HTML dashboard. Python measurement script with before/after comparison. Local SQLite trend tracking. No releases yet.",No overlap with other tools — unique diagnostic layer. Every other tool reduces context during sessions; token-optimizer reduces the fixed per-message baseline before any session starts.,Python + Claude Code skill,Python 3.10+ + Claude Code skill; ⚠ dispatches 6 Claude Code sub-agents (uses your Claude session); PolyForm NC,PolyForm Noncommercial,1600,▲ +13%,"1.4k stars (was ~1k), 16 waste patterns, 3 tiers, OpenClaw + Hermes + Codex support added, security: PASSED",🟢 Very active,Add — unique diagnostic layer,"SkillsLLM security audit PASSED (May 2026). Now supports OpenClaw, Hermes, Codex in addition to Claude Code. | Nothing else here audits the Claude Code config stack itself. PolyForm NC: free for personal use, commercial needs licence. Install via Claude Code plugin marketplace. Most valuable for power users with many MCP servers and skills."
